trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
d011_set1_it_coh_list1,81,1,11,011_ascend_wipe_plate,ascend_wipe_plate,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,41,4,JpegStimuliFullRes/11_ascend_wipe plate/1/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/1/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/1/it_target.jpg,it_target,JpegStimuliFullRes/11_ascend_wipe plate/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
d011_set1_tr_ic_list1,82,1,11,011_ascend_wipe_plate,ascend_wipe_plate,1,tr_ic,transitive_incohesive,incohesive,transitive,2,41,3,JpegStimuliFullRes/11_ascend_wipe plate/1/ic_1.jpg,ic_1,JpegStimuliFullRes/11_ascend_wipe plate/1/tr_target.jpg,tr_target,JpegStimuliFullRes/11_ascend_wipe plate/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
d011_set2_tr_coh_list1,83,1,11,011_ascend_wipe_plate,ascend_wipe_plate,2,tr_coh,transitive_cohesive,cohesive,transitive,1,42,3,JpegStimuliFullRes/11_ascend_wipe plate/2/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/2/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
d011_set2_it_ic_list1,84,1,11,011_ascend_wipe_plate,ascend_wipe_plate,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,42,3,JpegStimuliFullRes/11_ascend_wipe plate/2/ic_1.jpg,ic_1,JpegStimuliFullRes/11_ascend_wipe plate/2/it_target.jpg,it_target,JpegStimuliFullRes/11_ascend_wipe plate/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
d011_set3_tr_coh_list1,85,1,11,011_ascend_wipe_plate,ascend_wipe_plate,3,tr_coh,transitive_cohesive,cohesive,transitive,1,43,3,JpegStimuliFullRes/11_ascend_wipe plate/3/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/3/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/3/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
d011_set3_it_ic_list1,86,1,11,011_ascend_wipe_plate,ascend_wipe_plate,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,43,3,JpegStimuliFullRes/11_ascend_wipe plate/3/ic_1.jpg,ic_1,JpegStimuliFullRes/11_ascend_wipe plate/3/it_target.jpg,it_target,JpegStimuliFullRes/11_ascend_wipe plate/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
d011_set4_it_coh_list1,87,1,11,011_ascend_wipe_plate,ascend_wipe_plate,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,44,4,JpegStimuliFullRes/11_ascend_wipe plate/4/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/4/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/4/it_target.jpg,it_target,JpegStimuliFullRes/11_ascend_wipe plate/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
d011_set4_tr_ic_list1,88,1,11,011_ascend_wipe_plate,ascend_wipe_plate,4,tr_ic,transitive_incohesive,incohesive,transitive,2,44,3,JpegStimuliFullRes/11_ascend_wipe plate/4/ic_1.jpg,ic_1,JpegStimuliFullRes/11_ascend_wipe plate/4/tr_target.jpg,tr_target,JpegStimuliFullRes/11_ascend_wipe plate/4/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
d012_set1_it_coh_list1,89,1,12,012_come_eat_rice,come_eat_rice,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,45,4,JpegStimuliFullRes/12_come_eat rice/1/coh_1.jpg,coh_1,JpegStimuliFullRes/12_come_eat rice/1/coh_2.jpg,coh_2,JpegStimuliFullRes/12_come_eat rice/1/it_target.jpg,it_target,JpegStimuliFullRes/12_come_eat rice/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/12_come_eat rice
d012_set1_tr_ic_list1,90,1,12,012_come_eat_rice,come_eat_rice,1,tr_ic,transitive_incohesive,incohesive,transitive,2,45,3,JpegStimuliFullRes/12_come_eat rice/1/ic_1.jpg,ic_1,JpegStimuliFullRes/12_come_eat rice/1/tr_target.jpg,tr_target,JpegStimuliFullRes/12_come_eat rice/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/12_come_eat rice
