original_trial_index,recovery_source,trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
1,participant_261_csv_screenshots_2026-08-26,d013_set4_it_coh_list1,103,1,13,013_stand_wash_clothes,stand_wash_clothes,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,52,4,JpegStimuliFullRes/13_stand_wash clothes/4/coh_1.jpg,coh_1,JpegStimuliFullRes/13_stand_wash clothes/4/coh_2.jpg,coh_2,JpegStimuliFullRes/13_stand_wash clothes/4/it_target.jpg,it_target,JpegStimuliFullRes/13_stand_wash clothes/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/13_stand_wash clothes
2,participant_261_csv_screenshots_2026-08-26,d001_set3_it_ic_list1,6,1,1,001_cough_throw_bones,cough_throw_bones,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,3,3,JpegStimuliFullRes/1_cough_throw bones/3/ic_1.jpg,ic_1,JpegStimuliFullRes/1_cough_throw bones/3/it_target.jpg,it_target,JpegStimuliFullRes/1_cough_throw bones/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/1_cough_throw bones
3,participant_261_csv_screenshots_2026-08-26,d027_set4_it_coh_list1,215,1,27,027_jump_pull_blanket,jump_pull_blanket,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,108,4,JpegStimuliFullRes/27_jump_pull blanket/4/coh_1.jpg,coh_1,JpegStimuliFullRes/27_jump_pull blanket/4/coh_2.jpg,coh_2,JpegStimuliFullRes/27_jump_pull blanket/4/it_target.jpg,it_target,JpegStimuliFullRes/27_jump_pull blanket/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/27_jump_pull blanket
4,participant_261_csv_screenshots_2026-08-26,d026_set1_tr_ic_list1,202,1,26,026_sleep_drag_log,sleep_drag_log,1,tr_ic,transitive_incohesive,incohesive,transitive,2,101,3,JpegStimuliFullRes/26_sleep_drag log/1/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/1/tr_target.jpg,tr_target,JpegStimuliFullRes/26_sleep_drag log/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/26_sleep_drag log
5,participant_261_csv_screenshots_2026-08-26,d012_set4_it_coh_list1,95,1,12,012_come_eat_rice,come_eat_rice,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,48,4,JpegStimuliFullRes/12_come_eat rice/4/coh_1.jpg,coh_1,JpegStimuliFullRes/12_come_eat rice/4/coh_2.jpg,coh_2,JpegStimuliFullRes/12_come_eat rice/4/it_target.jpg,it_target,JpegStimuliFullRes/12_come_eat rice/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/12_come_eat rice
6,participant_261_csv_screenshots_2026-08-26,d008_set2_tr_coh_list1,59,1,8,008_smile_weave_garland,smile_weave_garland,2,tr_coh,transitive_cohesive,cohesive,transitive,1,30,3,JpegStimuliFullRes/8_smile_weave garland/2/coh_1.jpg,coh_1,JpegStimuliFullRes/8_smile_weave garland/2/coh_2.jpg,coh_2,JpegStimuliFullRes/8_smile_weave garland/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/8_smile_weave garland
7,participant_261_csv_screenshots_2026-08-26,d024_set2_it_ic_list1,188,1,24,024_descend_paint_bench,descend_paint_bench,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,94,3,JpegStimuliFullRes/24_descend_paint bench/2/ic_1.jpg,ic_1,JpegStimuliFullRes/24_descend_paint bench/2/it_target.jpg,it_target,JpegStimuliFullRes/24_descend_paint bench/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/24_descend_paint bench
8,participant_261_csv_screenshots_2026-08-26,d001_set4_it_coh_list1,7,1,1,001_cough_throw_bones,cough_throw_bones,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,4,4,JpegStimuliFullRes/1_cough_throw bones/4/coh_1.jpg,coh_1,JpegStimuliFullRes/1_cough_throw bones/4/coh_2.jpg,coh_2,JpegStimuliFullRes/1_cough_throw bones/4/it_target.jpg,it_target,JpegStimuliFullRes/1_cough_throw bones/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/1_cough_throw bones
9,participant_261_csv_screenshots_2026-08-26,d012_set3_tr_coh_list1,93,1,12,012_come_eat_rice,come_eat_rice,3,tr_coh,transitive_cohesive,cohesive,transitive,1,47,3,JpegStimuliFullRes/12_come_eat rice/3/coh_1.jpg,coh_1,JpegStimuliFullRes/12_come_eat rice/3/coh_2.jpg,coh_2,JpegStimuliFullRes/12_come_eat rice/3/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/12_come_eat rice
10,participant_261_csv_screenshots_2026-08-26,d030_set3_tr_coh_list1,237,1,30,030_smile_make_momos,smile_make_momos,3,tr_coh,transitive_cohesive,cohesive,transitive,1,119,3,JpegStimuliFullRes/30_smile_make momos/3/coh_1.jpg,coh_1,JpegStimuliFullRes/30_smile_make momos/3/coh_2.jpg,coh_2,JpegStimuliFullRes/30_smile_make momos/3/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/30_smile_make momos
