trial_id,source_trial_id,dataset_number,dataset_slug,dataset_label,condition_id,condition_name,cohesion,transitivity,target_image,target_role
isolated_d025_set1_tr_ic,d025_set1_tr_ic,25,025_yawn_lock_door,yawn_lock_door,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/025_yawn_lock_door/tr_target.png,tr_target
isolated_d010_set1_it_coh,d010_set1_it_coh,10,010_run_cook_pancakes,run_cook_pancakes,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/010_run_cook_pancakes/it_target.png,it_target
isolated_d009_set1_tr_ic,d009_set1_tr_ic,9,009_descend_harvest_rice,descend_harvest_rice,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/009_descend_harvest_rice/tr_target.png,tr_target
isolated_d021_set1_tr_ic,d021_set1_tr_ic,21,021_cough_burn_bottles,cough_burn_bottles,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/021_cough_burn_bottles/tr_target.png,tr_target
isolated_d007_set1_it_ic,d007_set1_it_ic,7,007_sit_make_fire,sit_make_fire,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/007_sit_make_fire/it_target.png,it_target
isolated_d024_set1_it_ic,d024_set1_it_ic,24,024_descend_paint_bench,descend_paint_bench,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/024_descend_paint_bench/it_target.png,it_target
isolated_d029_set1_tr_coh,d029_set1_tr_coh,29,029_sit_cut_potato,sit_cut_potato,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/029_sit_cut_potato/tr_target.png,tr_target
isolated_d027_set1_it_coh,d027_set1_it_coh,27,027_jump_pull_blanket,jump_pull_blanket,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/027_jump_pull_blanket/it_target.png,it_target
isolated_d002_set1_it_coh,d002_set1_it_coh,2,002_stand_weave_basket,stand_weave_basket,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/002_stand_weave_basket/it_target.png,it_target
isolated_d012_set1_tr_coh,d012_set1_tr_coh,12,012_come_eat_rice,come_eat_rice,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/012_come_eat_rice/tr_target.png,tr_target
isolated_d006_set1_it_ic,d006_set1_it_ic,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/006_sleep_pluck_tomatoes/it_target.png,it_target
isolated_d024_set1_tr_coh,d024_set1_tr_coh,24,024_descend_paint_bench,descend_paint_bench,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/024_descend_paint_bench/tr_target.png,tr_target
isolated_d018_set1_tr_coh,d018_set1_tr_coh,18,018_yawn_put_on_cap,yawn_put_on_cap,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/018_yawn_put_on_cap/tr_target.png,tr_target
isolated_d018_set1_tr_ic,d018_set1_tr_ic,18,018_yawn_put_on_cap,yawn_put_on_cap,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/018_yawn_put_on_cap/tr_target.png,tr_target
isolated_d008_set1_tr_ic,d008_set1_tr_ic,8,008_smile_weave_garland,smile_weave_garland,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/008_smile_weave_garland/tr_target.png,tr_target
isolated_d027_set1_tr_coh,d027_set1_tr_coh,27,027_jump_pull_blanket,jump_pull_blanket,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/027_jump_pull_blanket/tr_target.png,tr_target
isolated_d009_set1_it_ic,d009_set1_it_ic,9,009_descend_harvest_rice,descend_harvest_rice,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/009_descend_harvest_rice/it_target.png,it_target
