trial_id,source_trial_id,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,target_image,target_role
isolated_list1_d001_set1_it_coh_list1,d001_set1_it_coh_list1,1,1,001_cough_throw_bones,cough_throw_bones,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,1,../psychopy_gurung_v1/JpegStimuliFullRes/1_cough_throw bones/1/it_target.jpg,it_target
isolated_list1_d001_set2_tr_coh_list1,d001_set2_tr_coh_list1,1,1,001_cough_throw_bones,cough_throw_bones,2,tr_coh,transitive_cohesive,cohesive,transitive,1,2,../psychopy_gurung_v1/JpegStimuliFullRes/1_cough_throw bones/2/tr_target.jpg,tr_target
isolated_list1_d001_set3_tr_coh_list1,d001_set3_tr_coh_list1,1,1,001_cough_throw_bones,cough_throw_bones,3,tr_coh,transitive_cohesive,cohesive,transitive,1,3,../psychopy_gurung_v1/JpegStimuliFullRes/1_cough_throw bones/3/tr_target.jpg,tr_target
isolated_list1_d001_set4_it_coh_list1,d001_set4_it_coh_list1,1,1,001_cough_throw_bones,cough_throw_bones,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,4,../psychopy_gurung_v1/JpegStimuliFullRes/1_cough_throw bones/4/it_target.jpg,it_target
isolated_list1_d002_set1_it_coh_list1,d002_set1_it_coh_list1,1,2,002_stand_weave_basket,stand_weave_basket,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,5,../psychopy_gurung_v1/JpegStimuliFullRes/2_stand_weave basket/1/it_target.jpg,it_target
isolated_list1_d002_set2_tr_coh_list1,d002_set2_tr_coh_list1,1,2,002_stand_weave_basket,stand_weave_basket,2,tr_coh,transitive_cohesive,cohesive,transitive,1,6,../psychopy_gurung_v1/JpegStimuliFullRes/2_stand_weave basket/2/tr_target.jpg,tr_target
isolated_list1_d002_set3_tr_coh_list1,d002_set3_tr_coh_list1,1,2,002_stand_weave_basket,stand_weave_basket,3,tr_coh,transitive_cohesive,cohesive,transitive,1,7,../psychopy_gurung_v1/JpegStimuliFullRes/2_stand_weave basket/3/tr_target.jpg,tr_target
isolated_list1_d002_set4_it_coh_list1,d002_set4_it_coh_list1,1,2,002_stand_weave_basket,stand_weave_basket,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,8,../psychopy_gurung_v1/JpegStimuliFullRes/2_stand_weave basket/4/it_target.jpg,it_target
isolated_list1_d003_set1_it_coh_list1,d003_set1_it_coh_list1,1,3,003_rest_cook_fish,rest_cook_fish,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,9,../psychopy_gurung_v1/JpegStimuliFullRes/3_rest_cook fish/1/it_target.jpg,it_target
isolated_list1_d003_set2_tr_coh_list1,d003_set2_tr_coh_list1,1,3,003_rest_cook_fish,rest_cook_fish,2,tr_coh,transitive_cohesive,cohesive,transitive,1,10,../psychopy_gurung_v1/JpegStimuliFullRes/3_rest_cook fish/2/tr_target.jpg,tr_target
