trial_id,practice_index,target_image,target_role,practice_audio,source_n_images
isolated_practice_01_orange_and_man,1,Stimuli/isolated_practice_01_orange_and_man.jpg,orange_and_man,Audio/chickencorn_erg.wav,1
isolated_practice_02_woman_milking_goat,2,Stimuli/isolated_practice_02_woman_milking_goat.jpg,woman_milking_goat,Audio/chickencorn_erg.wav,1
isolated_practice_03_boy_bicycle,3,Stimuli/isolated_practice_03_boy_bicycle.jpg,boy_bicycle,,1
isolated_practice_04_woman_chopping_greens,4,Stimuli/isolated_practice_05_woman_chopping_greens.jpg,woman_chopping_greens,,1
isolated_practice_05_old_man_corn,5,Stimuli/isolated_practice_04_old_man_corn.jpg,old_man_corn,,1
isolated_practice_06_woman_phone,6,Stimuli/isolated_practice_06_woman_phone.jpg,woman_phone,,1
isolated_practice_07_man_motorcycle,7,Stimuli/isolated_practice_07_man_motorcycle.jpg,man_motorcycle,,1
isolated_practice_08_butterfly_phone,8,Stimuli/isolated_practice_09_butterfly_phone.jpg,butterfly_phone,,1
isolated_practice_09_badminton_wind,9,Stimuli/isolated_practice_10_badminton_wind.jpg,badminton_wind,,1
isolated_practice_10_girl_towel_old_man,10,Stimuli/isolated_practice_08_girl_towel_old_man.jpg,girl_towel_old_man,,1
