trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
d016_set1_tr_coh_list2,121,2,16,016_sleep_wash_dish,sleep_wash_dish,1,tr_coh,transitive_cohesive,cohesive,transitive,1,61,3,JpegStimuliFullRes/16_sleep_wash dish/1/coh_1.jpg,coh_1,JpegStimuliFullRes/16_sleep_wash dish/1/coh_2.jpg,coh_2,JpegStimuliFullRes/16_sleep_wash dish/1/tr_target.jpg,tr_target,,,BetweenTrials/nepal_2025_131_img_6922.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\16_sleep_wash dish
d016_set1_it_ic_list2,122,2,16,016_sleep_wash_dish,sleep_wash_dish,1,it_ic,intransitive_incohesive,incohesive,intransitive,4,61,3,JpegStimuliFullRes/16_sleep_wash dish/1/ic_1.jpg,ic_1,JpegStimuliFullRes/16_sleep_wash dish/1/it_target.jpg,it_target,JpegStimuliFullRes/16_sleep_wash dish/1/end_ic_it.jpg,end_ic_it,,,BetweenTrials/nepal_2025_132_img_6767.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\16_sleep_wash dish
d016_set2_it_coh_list2,123,2,16,016_sleep_wash_dish,sleep_wash_dish,2,it_coh,intransitive_cohesive,cohesive,intransitive,3,62,4,JpegStimuliFullRes/16_sleep_wash dish/2/coh_1.jpg,coh_1,JpegStimuliFullRes/16_sleep_wash dish/2/coh_2.jpg,coh_2,JpegStimuliFullRes/16_sleep_wash dish/2/it_target.jpg,it_target,JpegStimuliFullRes/16_sleep_wash dish/2/end_coh_it.jpg,end_coh_it,BetweenTrials/nepal_2025_133_img_6940.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\16_sleep_wash dish
d016_set2_tr_ic_list2,124,2,16,016_sleep_wash_dish,sleep_wash_dish,2,tr_ic,transitive_incohesive,incohesive,transitive,2,62,3,JpegStimuliFullRes/16_sleep_wash dish/2/ic_1.jpg,ic_1,JpegStimuliFullRes/16_sleep_wash dish/2/tr_target.jpg,tr_target,JpegStimuliFullRes/16_sleep_wash dish/2/end_ic_tr.jpg,end_ic_tr,,,BetweenTrials/nepal_2025_134_img_6761.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\16_sleep_wash dish
d016_set3_it_coh_list2,125,2,16,016_sleep_wash_dish,sleep_wash_dish,3,it_coh,intransitive_cohesive,cohesive,intransitive,3,63,4,JpegStimuliFullRes/16_sleep_wash dish/3/coh_1.jpg,coh_1,JpegStimuliFullRes/16_sleep_wash dish/3/coh_2.jpg,coh_2,JpegStimuliFullRes/16_sleep_wash dish/3/it_target.jpg,it_target,JpegStimuliFullRes/16_sleep_wash dish/3/end_coh_it.jpg,end_coh_it,BetweenTrials/nepal_2025_135_img_7112.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\16_sleep_wash dish
d016_set3_tr_ic_list2,126,2,16,016_sleep_wash_dish,sleep_wash_dish,3,tr_ic,transitive_incohesive,incohesive,transitive,2,63,3,JpegStimuliFullRes/16_sleep_wash dish/3/ic_1.jpg,ic_1,JpegStimuliFullRes/16_sleep_wash dish/3/tr_target.jpg,tr_target,JpegStimuliFullRes/16_sleep_wash dish/3/end_ic_tr.jpg,end_ic_tr,,,BetweenTrials/nepal_2025_136_img_7101.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\16_sleep_wash dish
d016_set4_tr_coh_list2,127,2,16,016_sleep_wash_dish,sleep_wash_dish,4,tr_coh,transitive_cohesive,cohesive,transitive,1,64,3,JpegStimuliFullRes/16_sleep_wash dish/4/coh_1.jpg,coh_1,JpegStimuliFullRes/16_sleep_wash dish/4/coh_2.jpg,coh_2,JpegStimuliFullRes/16_sleep_wash dish/4/tr_target.jpg,tr_target,,,BetweenTrials/nepal_2025_137_img_6976.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\16_sleep_wash dish
d016_set4_it_ic_list2,128,2,16,016_sleep_wash_dish,sleep_wash_dish,4,it_ic,intransitive_incohesive,incohesive,intransitive,4,64,3,JpegStimuliFullRes/16_sleep_wash dish/4/ic_1.jpg,ic_1,JpegStimuliFullRes/16_sleep_wash dish/4/it_target.jpg,it_target,JpegStimuliFullRes/16_sleep_wash dish/4/end_ic_it.jpg,end_ic_it,,,BetweenTrials/nepal_2025_138_img_6980.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\16_sleep_wash dish
d017_set1_tr_coh_list2,129,2,17,017_rest_hang_picture,rest_hang_picture,1,tr_coh,transitive_cohesive,cohesive,transitive,1,65,3,JpegStimuliFullRes/17_rest_hang picture/1/coh_1.jpg,coh_1,JpegStimuliFullRes/17_rest_hang picture/1/coh_2.jpg,coh_2,JpegStimuliFullRes/17_rest_hang picture/1/tr_target.jpg,tr_target,,,BetweenTrials/nepal_2025_139_img_7081.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\17_rest_hang picture
d017_set1_it_ic_list2,130,2,17,017_rest_hang_picture,rest_hang_picture,1,it_ic,intransitive_incohesive,incohesive,intransitive,4,65,3,JpegStimuliFullRes/17_rest_hang picture/1/ic_1.jpg,ic_1,JpegStimuliFullRes/17_rest_hang picture/1/it_target.jpg,it_target,JpegStimuliFullRes/17_rest_hang picture/1/end_ic_it.jpg,end_ic_it,,,BetweenTrials/nepal_2025_140_img_7053.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\17_rest_hang picture
