trial_id,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image
practice_01,3,Stimuli/practice_01_pic01_orange_and_man.jpg,practice_1,Stimuli/practice_01_pic02_orange_and_man.jpg,practice_2,Stimuli/practice_01_pic03_orange_and_man.jpg,practice_3,,,BetweenTrials/nepal_2025_001_img_7064.jpg
practice_02,3,Stimuli/practice_02_pic01_girl_towel_and_old_man.jpg,practice_1,Stimuli/practice_02_pic02_girl_towel_and_old_man.jpg,practice_2,Stimuli/practice_02_pic03_girl_towel_and_old_man.jpg,practice_3,,,BetweenTrials/nepal_2025_002_img_6832.jpg
practice_03,3,Stimuli/practice_03_pic01_falling_from_bicycle.jpg,practice_1,Stimuli/practice_03_pic02_falling_from_bicycle.jpg,practice_2,Stimuli/practice_03_pic03_falling_from_bicycle.jpg,practice_3,,,BetweenTrials/nepal_2025_003_img_7133.jpg
practice_04,4,Stimuli/practice_04_pic01_drinking_morning_milk.jpg,practice_1,Stimuli/practice_04_pic02_drinking_morning_milk.jpg,practice_2,Stimuli/practice_04_pic03_drinking_morning_milk.jpg,practice_3,Stimuli/practice_04_pic04_drinking_morning_milk.jpg,practice_4,BetweenTrials/nepal_2025_004_img_6990.jpg
practice_05,3,Stimuli/practice_05_pic01_butterfly.jpg,practice_1,Stimuli/practice_05_pic02_butterfly.jpg,practice_2,Stimuli/practice_05_pic03_butterfly.jpg,practice_3,,,BetweenTrials/nepal_2025_005_img_6841.jpg
practice_06,3,Stimuli/practice_06_pic01_badminton_and_wind.jpg,practice_1,Stimuli/practice_06_pic02_badminton_and_wind.jpg,practice_2,Stimuli/practice_06_pic03_badminton_and_wind.jpg,practice_3,,,BetweenTrials/nepal_2025_006_img_6734.jpg
practice_07,3,Stimuli/practice_07_pic01_buffalo_blocks_the_way.jpg,practice_1,Stimuli/practice_07_pic02_buffalo_blocks_the_way.jpg,practice_2,Stimuli/practice_07_pic03_buffalo_blocks_the_way.jpg,practice_3,,,BetweenTrials/nepal_2025_007_img_6910.jpg
practice_08,4,Stimuli/practice_08_pic01_pieces_of_broken_jug.jpg,practice_1,Stimuli/practice_08_pic02_pieces_of_broken_jug.jpg,practice_2,Stimuli/practice_08_pic03_pieces_of_broken_jug.jpg,practice_3,Stimuli/practice_08_pic04_pieces_of_broken_jug.jpg,practice_4,BetweenTrials/nepal_2025_008_img_6952.jpg
practice_09,3,Stimuli/practice_09_pic01_leech_after_rain.jpg,practice_1,Stimuli/practice_09_pic02_leech_after_rain.jpg,practice_2,Stimuli/practice_09_pic03_leech_after_rain.jpg,practice_3,,,BetweenTrials/nepal_2025_009_img_7052.jpg
practice_10,3,Stimuli/practice_10_pic01_slipper_floats_away.jpg,practice_1,Stimuli/practice_10_pic02_slipper_floats_away.jpg,practice_2,Stimuli/practice_10_pic03_slipper_floats_away.jpg,practice_3,,,BetweenTrials/nepal_2025_010_img_6875.jpg
