dataset_number,dataset_slug,dataset_label,image_role,package_path,source_path
1,001_cough_throw_bones,cough_throw bones,ic_1,MainStimuli/001_cough_throw_bones/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/1_cough_throw bones/1/ic_1.png
1,001_cough_throw_bones,cough_throw bones,coh_1,MainStimuli/001_cough_throw_bones/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/1_cough_throw bones/1/coh_1.png
1,001_cough_throw_bones,cough_throw bones,coh_2,MainStimuli/001_cough_throw_bones/coh_2.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/1_cough_throw bones/1/coh_2.png
1,001_cough_throw_bones,cough_throw bones,tr_target,MainStimuli/001_cough_throw_bones/tr_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/1_cough_throw bones/1/tr_target.png
1,001_cough_throw_bones,cough_throw bones,it_target,MainStimuli/001_cough_throw_bones/it_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/1_cough_throw bones/1/it_target.png
1,001_cough_throw_bones,cough_throw bones,end_coh_it,MainStimuli/001_cough_throw_bones/end_coh_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/1_cough_throw bones/1/end_coh_it.png
1,001_cough_throw_bones,cough_throw bones,end_ic_tr,MainStimuli/001_cough_throw_bones/end_ic_tr.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/1_cough_throw bones/1/end_ic_tr.png
1,001_cough_throw_bones,cough_throw bones,end_ic_it,MainStimuli/001_cough_throw_bones/end_ic_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/1_cough_throw bones/1/end_ic_it.png
2,002_stand_weave_basket,stand_weave basket,ic_1,MainStimuli/002_stand_weave_basket/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/2_stand_weave basket/1/ic_1.png
2,002_stand_weave_basket,stand_weave basket,coh_1,MainStimuli/002_stand_weave_basket/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/2_stand_weave basket/1/coh_1.png
2,002_stand_weave_basket,stand_weave basket,coh_2,MainStimuli/002_stand_weave_basket/coh_2.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/2_stand_weave basket/1/coh_2.png
2,002_stand_weave_basket,stand_weave basket,tr_target,MainStimuli/002_stand_weave_basket/tr_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/2_stand_weave basket/1/tr_target.png
2,002_stand_weave_basket,stand_weave basket,it_target,MainStimuli/002_stand_weave_basket/it_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/2_stand_weave basket/1/it_target.png
2,002_stand_weave_basket,stand_weave basket,end_coh_it,MainStimuli/002_stand_weave_basket/end_coh_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/2_stand_weave basket/1/end_coh_it.png
2,002_stand_weave_basket,stand_weave basket,end_ic_tr,MainStimuli/002_stand_weave_basket/end_ic_tr.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/2_stand_weave basket/1/end_ic_tr.png
2,002_stand_weave_basket,stand_weave basket,end_ic_it,MainStimuli/002_stand_weave_basket/end_ic_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/2_stand_weave basket/1/end_ic_it.png
3,003_rest_cook_fish,rest_cook fish,ic_1,MainStimuli/003_rest_cook_fish/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/3_rest_cook fish/1/ic_1.png
3,003_rest_cook_fish,rest_cook fish,coh_1,MainStimuli/003_rest_cook_fish/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/3_rest_cook fish/1/coh_1.png
3,003_rest_cook_fish,rest_cook fish,coh_2,MainStimuli/003_rest_cook_fish/coh_2.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/3_rest_cook fish/1/coh_2.png
