trial_id,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,thisN,thisTrialN,thisRepN,random_order,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,MainBlock1.thisRepN,MainBlock1.thisTrialN,MainBlock1.thisN,MainBlock1.thisIndex,MainBlock2.thisRepN,MainBlock2.thisTrialN,MainBlock2.thisN,MainBlock2.thisIndex,MainBlock3.thisRepN,MainBlock3.thisTrialN,MainBlock3.thisN,MainBlock3.thisIndex,thisRow.t,notes,piloting,Instructions.started,Instructions_keep_alive.started,Instructions.stopped,practice_trial_index,practice_between_image,PracticeTrial.started,PracticeTrial_keep_alive.started,practice_between_rt,practice_seg1_role,practice_seg1_audio,practice_seg2_role,practice_seg2_audio,practice_seg3_role,practice_seg3_audio,PracticeTrial.stopped,PracticeEnd.started,PracticeEnd_keep_alive.started,PracticeEnd.stopped,main_trial_index,MainTrial.started,MainTrial_keep_alive.started,between_rt,seg1_role,seg1_audio,seg2_role,seg2_audio,seg3_role,seg3_audio,MainTrial.stopped,seg4_role,seg4_audio,Break.started,Break_keep_alive.started,Break.stopped,EndExperiment.started,EndExperiment_keep_alive.started,EndExperiment.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.10019087499949819,0.11668262500006676,93.24826020899945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875233,001,2026-06-06_21h40.45.140,gurung_120_v1,,2026.1.3,59.94989663403184,2026-06-06 21h40.45.659069 +0200,
practice_01,3,Stimuli/pr1_1.png,practice_1,Stimuli/pr1_2.png,practice_2,Stimuli/pr1_3.png,practice_3,None,None,BetweenTrials/img_20260522_165652.jpg,0,0,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,93.59726891699938,,,,,,1,/Users/matveikurzukov/gurung/psychopy_gurung_v1/BetweenTrials/img_20260522_165652.jpg,93.57132279199959,93.59726891699938,3.045298207999622,practice_1,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_01_pic01_practice_1.wav,practice_2,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_01_pic02_practice_2.wav,practice_3,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_01_pic03_practice_3.wav,106.23140470899943,,,,,,,,,,,,,,,,,,,,,,,875233,001,2026-06-06_21h40.45.140,gurung_120_v1,,2026.1.3,59.94989663403184,2026-06-06 21h40.45.659069 +0200,
practice_02,3,Stimuli/pr2_1.png,practice_1,Stimuli/pr2_2.png,practice_2,Stimuli/pr2_3.png,practice_3,None,None,BetweenTrials/1752221806065.jpg,1,1,0,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,106.59626037499947,,,,,,2,/Users/matveikurzukov/gurung/psychopy_gurung_v1/BetweenTrials/1752221806065.jpg,106.57633991700004,106.59626037499947,0.18895208400044794,practice_1,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_02_pic01_practice_1.wav,practice_2,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_02_pic02_practice_2.wav,practice_3,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_02_pic03_practice_3.wav,110.14748183399934,,,,,,,,,,,,,,,,,,,,,,,875233,001,2026-06-06_21h40.45.140,gurung_120_v1,,2026.1.3,59.94989663403184,2026-06-06 21h40.45.659069 +0200,
practice_03,3,Stimuli/pr3_1.png,practice_1,Stimuli/pr3_2.png,practice_2,Stimuli/pr3_3.png,practice_3,None,None,BetweenTrials/1752221806065.jpg,2,2,0,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,110.44622841699947,,,,,,3,/Users/matveikurzukov/gurung/psychopy_gurung_v1/BetweenTrials/1752221806065.jpg,110.43225679199986,110.44622841699947,0.9317526670001826,practice_1,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_03_pic01_practice_1.wav,practice_2,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_03_pic02_practice_2.wav,practice_3,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_03_pic03_practice_3.wav,115.09806987499996,,,,,,,,,,,,,,,,,,,,,,,875233,001,2026-06-06_21h40.45.140,gurung_120_v1,,2026.1.3,59.94989663403184,2026-06-06 21h40.45.659069 +0200,
practice_04,3,Stimuli/pr4_1.png,practice_1,Stimuli/pr4_2.png,practice_2,Stimuli/pr4_3.png,practice_3,None,None,BetweenTrials/1752221806065.jpg,3,3,0,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,115.41259824999997,,,,,,4,/Users/matveikurzukov/gurung/psychopy_gurung_v1/BetweenTrials/1752221806065.jpg,115.39619216699975,115.41259824999997,0.41841341700001067,practice_1,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_04_pic01_practice_1.wav,practice_2,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_04_pic02_practice_2.wav,practice_3,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_04_pic03_practice_3.wav,118.26491712499956,,,,,,,,,,,,,,,,,,,,,,,875233,001,2026-06-06_21h40.45.140,gurung_120_v1,,2026.1.3,59.94989663403184,2026-06-06 21h40.45.659069 +0200,
practice_05,3,Stimuli/pr5_1.png,practice_1,Stimuli/pr5_2.png,practice_2,Stimuli/pr5_3.png,practice_3,None,None,BetweenTrials/1752221806065.jpg,4,4,0,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,118.57906037499924,,,,,,5,/Users/matveikurzukov/gurung/psychopy_gurung_v1/BetweenTrials/1752221806065.jpg,118.56393408399981,118.57906037499924,0.1831543749995035,practice_1,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_05_pic01_practice_1.wav,practice_2,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_05_pic02_practice_2.wav,practice_3,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_05_pic03_practice_3.wav,121.04730762500003,,,,,,,,,,,,,,,,,,,,,,,875233,001,2026-06-06_21h40.45.140,gurung_120_v1,,2026.1.3,59.94989663403184,2026-06-06 21h40.45.659069 +0200,
practice_06,3,Stimuli/pr6_1.png,practice_1,Stimuli/pr6_2.png,practice_2,Stimuli/pr6_3.png,practice_3,None,None,BetweenTrials/1752221802086.jpg,5,5,0,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,121.39566579199982,,,,,,6,/Users/matveikurzukov/gurung/psychopy_gurung_v1/BetweenTrials/1752221802086.jpg,121.37010495899995,121.39566579199982,0.3270795830003408,practice_1,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_06_pic01_practice_1.wav,practice_2,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_06_pic02_practice_2.wav,practice_3,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_06_pic03_practice_3.wav,124.21347545899971,,,,,,,,,,,,,,,,,,,,,,,875233,001,2026-06-06_21h40.45.140,gurung_120_v1,,2026.1.3,59.94989663403184,2026-06-06 21h40.45.659069 +0200,
practice_07,3,Stimuli/pr7_1.png,practice_1,Stimuli/pr7_2.png,practice_2,Stimuli/pr7_3.png,practice_3,None,None,BetweenTrials/img_20260522_165652.jpg,6,6,0,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,124.51282891699975,,,,,,7,/Users/matveikurzukov/gurung/psychopy_gurung_v1/BetweenTrials/img_20260522_165652.jpg,124.49330874999941,124.51282891699975,0.3378405000003113,practice_1,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_07_pic01_practice_1.wav,practice_2,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_07_pic02_practice_2.wav,practice_3,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_07_pic03_practice_3.wav,127.21325545899981,,,,,,,,,,,,,,,,,,,,,,,875233,001,2026-06-06_21h40.45.140,gurung_120_v1,,2026.1.3,59.94989663403184,2026-06-06 21h40.45.659069 +0200,
practice_08,3,Stimuli/pr8_1.png,practice_1,Stimuli/pr8_2.png,practice_2,Stimuli/pr8_3.png,practice_3,None,None,BetweenTrials/img_20260522_165652.jpg,7,7,0,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,127.54584858399994,,,,,,8,/Users/matveikurzukov/gurung/psychopy_gurung_v1/BetweenTrials/img_20260522_165652.jpg,127.51910483399934,127.54584858399994,0.32837225000002945,practice_1,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_08_pic01_practice_1.wav,practice_2,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_08_pic02_practice_2.wav,practice_3,/Users/matveikurzukov/gurung/psychopy_gurung_v1/recordings/875233_practice_08_pic03_practice_3.wav,130.12984670900005,,,,,,,,,,,,,,,,,,,,,,,875233,001,2026-06-06_21h40.45.140,gurung_120_v1,,2026.1.3,59.94989663403184,2026-06-06 21h40.45.659069 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.23217545899934,130.26284687499992,130.6344479169993,,,,,,,,,,,,,,,,,,,,875233,001,2026-06-06_21h40.45.140,gurung_120_v1,,2026.1.3,59.94989663403184,2026-06-06 21h40.45.659069 +0200,
