sample_index,source_relative,output_file,source_bytes,jpeg_bytes,jpeg_sha256
1,10_run_cook pancakes/2/coh_2.png,01_10_run_cook_pancakes_set2_coh_2.jpg,2899580,341556,986ac20fd824114beef4300efa0a1da17912f4355763f9a8fba446480ed89fe3
2,10_run_cook pancakes/2/it_target.png,02_10_run_cook_pancakes_set2_it_target.jpg,2610973,293761,79efa835cf4e33c501ae9165ce96de58c010d7c74e8d849289b6b60fc9d7c719
3,10_run_cook pancakes/3/end_ic_it.png,03_10_run_cook_pancakes_set3_end_ic_it.jpg,2846886,334613,d0d01dbdb384bb3b50d33a8f6d3272f5f69494285052a1a027a72e24e33eed43
4,10_run_cook pancakes/3/tr_target.png,04_10_run_cook_pancakes_set3_tr_target.jpg,2502455,243105,5098ceb0a2d581087f7ba6341a3d752b3f0170fe7b8ff85abceacccfe3ac01e8
5,12_come_eat rice/3/it_target.png,05_12_come_eat_rice_set3_it_target.jpg,2817983,295210,1f7fbda019e669feff805ee2f654ab46cb17c29c07eff60a8c16937fc157a3f4
6,12_come_eat rice/4/end_ic_it.png,06_12_come_eat_rice_set4_end_ic_it.jpg,2378356,214679,812881878fdefc04ba219f5d523b6d5c71fed8dc40e12e9ae79d7e901b14a441
7,13_stand_wash clothes/2/coh_2.png,07_13_stand_wash_clothes_set2_coh_2.jpg,2856599,321866,8c1faf868346c5c4e1b4d087e7a53271af6177485a9a6a20d717095e399dccfc
8,13_stand_wash clothes/2/end_ic_it.png,08_13_stand_wash_clothes_set2_end_ic_it.jpg,2971290,378898,a6fe210fa2eb7664b6f962bac4466d7d57ee95d981c8829fd04cbc696b63c14b
9,13_stand_wash clothes/2/end_ic_tr.png,09_13_stand_wash_clothes_set2_end_ic_tr.jpg,2817369,334481,39ba7ac17e8dcc53b339f9ad2c21a9f0de18c1682b0cf47f0520ee50defea96f
10,13_stand_wash clothes/4/it_target.png,10_13_stand_wash_clothes_set4_it_target.jpg,2884674,336217,ae11b7e006db78e7ef89442e07ee9d5e8f308929062eb507b8cf1fa39217408c
11,14_ascend_weave raincoat/2/coh_1.png,11_14_ascend_weave_raincoat_set2_coh_1.jpg,2566740,277903,c46f5ca2f94caa2c6746c3611ecb1efd5ce121a2b1095d6f5a544df176e6f0a2
12,15_smile_clean wall/3/end_ic_it.png,12_15_smile_clean_wall_set3_end_ic_it.jpg,2799568,321271,61146114b6aebae0a2284aeba755484bcec708f31098ec78d72cb95942b73a86
13,17_rest_hang picture/4/end_coh_it.png,13_17_rest_hang_picture_set4_end_coh_it.jpg,2438366,220988,e3c0110b76797915ff46ed03eb168cae1d6ea1691b0dd89b667b1e2b2ef23909
14,20_come_plant sapling/1/it_target.png,14_20_come_plant_sapling_set1_it_target.jpg,2731147,303642,df496afeab6696727fb4743c2e3c7ec8764cdf50273ace9d969ee4bf2518d8ea
15,21_cough_burn bottles/3/coh_1.png,15_21_cough_burn_bottles_set3_coh_1.jpg,3001494,346552,933f45b1e2fafb5706dacb8c9b1530efec4495cd54913e07ae36860c9ff122d7
16,22_come_push chest/4/end_ic_it.png,16_22_come_push_chest_set4_end_ic_it.jpg,2536280,267108,721266ecf439468da6d9f368c19df578f715b1ebdf1a434cfe07a15479798994
17,26_sleep_drag log/2/coh_2.png,17_26_sleep_drag_log_set2_coh_2.jpg,2862083,331378,79b7cf48cc6ec559292735369acccccfd9e5377bc9b6250be230aa6b575e0d08
